violation_desc,issue_datetime,fine,issuing_agency,lat,lon,zip_code
STOPPING PROHIBITED,2017-02-20T21:13:00Z,51,PPA,39.930068,-75.16469,19147
METER EXPIRED CC,2017-03-22T11:44:00Z,36,PPA,39.94242,-75.15516,19147
METER EXPIRED CC,2017-01-11T15:11:00Z,36,PPA,39.9478064635818,-75.1518883597406,19106
STOP PROHIBITED CC,2017-01-11T15:35:00Z,76,PPA,39.9478064635818,-75.1518883597406,19106
METER EXPIRED,2017-03-08T16:30:00Z,26,PPA,40.047938,-75.068838,19149
IMPROPER ON 2WAY HWY,2017-03-09T20:42:00Z,31,PPA,40.024968,-75.220418,19127
STOP PROHIBITED CC,2017-02-04T19:52:00Z,76,PPA,39.954587,-75.15434,19107
METER EXPIRED CC,2017-03-04T11:11:00Z,36,PPA,39.950695,-75.191247,19104
STREET CLEANING,2017-03-24T07:46:00Z,31,PPA,39.938515,-75.224642,19143
METER EXPIRED CC,2017-03-17T11:42:00Z,36,PPA,39.954917,-75.155912,19107
METER EXPIRED,2017-03-10T13:28:00Z,26,PPA,39.999177,-75.12906,19140
OVER TIME LIMIT,2017-01-31T11:48:00Z,26,PPA,39.9587193594963,-75.2071243768803,19104
METER EXPIRED CC,2017-02-18T14:58:00Z,36,PPA,39.941863,-75.151345,19147
EXPIRED INSPECTION,2017-01-09T13:07:00Z,41,PPA,40.042859970555,-75.0741377483996,19149
METER EXPIRED,2017-01-10T12:12:00Z,26,PPA,40.041692,-75.075312,19149
METER EXPIRED CC,2017-01-03T14:11:00Z,36,PPA,39.9535424818538,-75.2027092500528,19104
METER EXPIRED,2017-02-17T08:46:00Z,26,PPA,39.924473,-75.170417,19145
IMPROPER ON 2WAY HWY,2017-02-23T09:21:00Z,31,PPA,39.924302,-75.169748,19145
SCHOOL ZONE,2017-01-05T09:22:00Z,36,PPA,39.948405,-75.152115,19106
PARKING PROHBITED CC,2017-01-11T06:36:00Z,51,PPA,39.9503692489427,-75.1724984703912,19103
METER EXPIRED,2017-03-10T16:49:00Z,26,PPA,39.995488,-75.11523,19134
METER EXPIRED CC,2017-01-11T13:45:00Z,36,PPA,39.9511677407707,-75.1664032520862,19102
METER EXPIRED,2017-03-02T16:22:00Z,26,PPA,39.918915,-75.170728,19145
STOPPING PROHIBITED,2017-02-21T14:58:00Z,51,PPA,39.920735,-75.15649,19148
CROSSWALK,2017-01-28T10:12:00Z,51,PPA,39.921237,-75.155585,NA
METER EXPIRED CC,2017-01-05T17:56:00Z,36,PPA,39.9553217973739,-75.1872718217194,19104
PARKING PROHBITED,2017-01-09T07:25:00Z,41,POLICE,40.0310726300845,-75.2073622835355,19128
EXPIRED INSPECTION,2017-02-16T10:57:00Z,41,PPA,39.94876,-75.15794,19107
METER EXPIRED CC,2017-03-09T17:08:00Z,36,PPA,39.959438,-75.166702,19103
EXPIRED INSPECTION,2017-01-11T11:30:00Z,41,POLICE,39.9453084672674,-75.2321063468478,19143
METER EXPIRED,2017-02-02T13:23:00Z,26,PPA,39.926605,-75.233318,19142
BUS ONLY ZONE,2017-03-08T20:55:00Z,51,PPA,39.974238,-75.239927,19151
DOUBLE PARKED,2017-01-12T17:09:00Z,51,PPA,40.0265298416779,-75.132674781116,19120
OVER TIME LIMIT,2017-03-31T16:23:00Z,26,PPA,40.07733,-75.206608,19118
FIRE HYDRANT,2017-03-02T15:18:00Z,76,PPA,40.041862,-75.075237,19149
METER EXPIRED CC,2017-03-11T16:58:00Z,36,PPA,39.940447,-75.145895,19147
METER EXPIRED,2017-02-02T14:42:00Z,26,PPA,39.923338,-75.169847,19145
OVER TIME LIMIT,2017-03-08T11:53:00Z,26,PPA,39.924242,-75.17823,19145
METER EXPIRED CC,2017-01-12T10:19:00Z,36,PPA,39.9466377323085,-75.1594112493808,19107
METER EXPIRED CC,2017-03-02T15:09:00Z,36,PPA,39.953583,-75.171718,19103
